country,mean_residual_load,std_residual_load,min_residual_load,max_residual_load,median_residual_load
Spain,8614.71688670412,5610.88695330792,-2827.34,24380.25,8682.025
France,31262.87198033708,6260.680114550698,14434.61,50612.2,30913.965000000004
Germany,22444.14152153558,14066.086053582476,-12256.120000000004,58311.65,23734.81
