Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-05-10 21:00","29808","30664","30311",
"2024-05-10 21:05","30054","30943","30311",
"2024-05-10 21:10","30131","31068","30311",
"2024-05-10 21:15","30179","31040","30481",
"2024-05-10 21:20","30495","30943","30481",
"2024-05-10 21:25","30683","30862","30481",
"2024-05-10 21:30","30602","30798","30311",
"2024-05-10 21:35","30709","30726","30311",
"2024-05-10 21:40","30722","30622","30311",
"2024-05-10 21:45","30613","30486","30199",
"2024-05-10 21:50","30400","30343","30199",
"2024-05-10 21:55","30288","30217","30199",
"2024-05-10 22:00","30157","30151","29450",
"2024-05-10 22:05","29889","30036","29450",
"2024-05-10 22:10","29749","29890","29450",
"2024-05-10 22:15","29552","29712","29000",
"2024-05-10 22:20","29205","29517","29000",
"2024-05-10 22:25","29080","29320","29000",
"2024-05-10 22:30","28903","29121","28433",
"2024-05-10 22:35","28687","28932","28433",
"2024-05-10 22:40","28414","28764","28433",
"2024-05-10 22:45","28154","28618","27800",
"2024-05-10 22:50","28153","28443","27800",
"2024-05-10 22:55","27988","28186","27800",
"2024-05-10 23:00","27660","27792","27033",
"2024-05-10 23:05","27474","27466","27033",
"2024-05-10 23:10","27283","27245","27033",
"2024-05-10 23:15","27014","27128","26624",
"2024-05-10 23:20","26871","27054","26624",
"2024-05-10 23:25","26740","26962","26624",
"2024-05-10 23:30","26377","26852","26264",
"2024-05-10 23:35","26365","26732","26264",
"2024-05-10 23:40","26106","26613","26264",
"2024-05-10 23:45","25909","26493","25619",
"2024-05-10 23:50","25883","26392","25619",
"2024-05-10 23:55","25850","26327","25619",
"2024-05-11 00:00","25400","26161","25273",
"2024-05-11 00:05","25659","26127","25273",
"2024-05-11 00:10","25774","26051","25273",
"2024-05-11 00:15","25797","25932","25173",
"2024-05-11 00:20","25653","25795","25173",
"2024-05-11 00:25","25313","25664","25173",
"2024-05-11 00:30","25050","25539","24785",
"2024-05-11 00:35","24999","25422","24785",
"2024-05-11 00:40","25038","25313","24785",
"2024-05-11 00:45","24858","25213","24504",
"2024-05-11 00:50","24799","25094","24504",
"2024-05-11 00:55","24628","24931","24504",
"2024-05-11 01:00","24440","24624","24144",
"2024-05-11 01:05","24299","24418","24144",
"2024-05-11 01:10","24297","24261","24144",
"2024-05-11 01:15","24091","24153","23768",
"2024-05-11 01:20","23924","24064","23768",
"2024-05-11 01:25","23820","23961","23768",
"2024-05-11 01:30","23773","23845","23418",
"2024-05-11 01:35","23591","23729","23418",
"2024-05-11 01:40","23607","23624","23418",
"2024-05-11 01:45","23388","23530","23004",
"2024-05-11 01:50","23258","23432","23004",
"2024-05-11 01:55","23185","23314","23004",
"2024-05-11 02:00","23151","23108","22694",
"2024-05-11 02:05","22975","22977","22694",
"2024-05-11 02:10","22804","22876","22694",
"2024-05-11 02:15","22800","22804","22420",
"2024-05-11 02:20","22777","22745","22420",
"2024-05-11 02:25","22668","22681","22420",
"2024-05-11 02:30","22610","22610","22309",
"2024-05-11 02:35","22455","22544","22309",
"2024-05-11 02:40","22218","22491","22309",
"2024-05-11 02:45","22111","22452","22107",
"2024-05-11 02:50","22333","22405","22107",
"2024-05-11 02:55","22082","22328","22107",
"2024-05-11 03:00","21997","22173","21975",
"2024-05-11 03:05","22093","22071","21975",
"2024-05-11 03:10","22087","22004","21975",
"2024-05-11 03:15","22005","21974","21857",
"2024-05-11 03:20","22069","21957","21857",
"2024-05-11 03:25","21820","21934","21857",
"2024-05-11 03:30","21776","21902","21823",
"2024-05-11 03:35","21933","21870","21823",
"2024-05-11 03:40","22083","21843","21823",
"2024-05-11 03:45","21774","21822","21582",
"2024-05-11 03:50","21939","21800","21582",
"2024-05-11 03:55","21579","21768","21582",
"2024-05-11 04:00","21406","21699","21645",
"2024-05-11 04:05","21502","21656","21645",
"2024-05-11 04:10","21397","21617","21645",
"2024-05-11 04:15","21656","21582","21645",
"2024-05-11 04:20","21691","21548","21645",
"2024-05-11 04:25","21597","21511","21645",
"2024-05-11 04:30","21566","21471","21495",
"2024-05-11 04:35","21566","21437","21495",
"2024-05-11 04:40","21630","21417","21495",
"2024-05-11 04:45","21374","21412","21496",
"2024-05-11 04:50","21323","21396","21496",
"2024-05-11 04:55","21328","21342","21496",
"2024-05-11 05:00","21458","21242","21552",
"2024-05-11 05:05","21504","21160","21552",
"2024-05-11 05:10","21225","21132","21552",
"2024-05-11 05:15","21358","21158","21552",
"2024-05-11 05:20","21360","21208","21552",
"2024-05-11 05:25","21426","21252","21552",
"2024-05-11 05:30","21447","21290","21362",
"2024-05-11 05:35","21472","21325","21362",
"2024-05-11 05:40","21112","21361","21362",
"2024-05-11 05:45","21219","21397","21262",
"2024-05-11 05:50","21269","21444","21262",
"2024-05-11 05:55","21277","21512","21262",
"2024-05-11 06:00","21388","21602","21757",
"2024-05-11 06:05","21527","21687","21757",
"2024-05-11 06:10","21899","21746","21757",
"2024-05-11 06:15","21755","21778","21807",
"2024-05-11 06:20","21743","21799","21807",
"2024-05-11 06:25","21778","21823","21807",
"2024-05-11 06:30","21685","21850","21857",
"2024-05-11 06:35","21888","21885","21857",
"2024-05-11 06:40","21754","21931","21857",
"2024-05-11 06:45","21943","21988","22207",
"2024-05-11 06:50","21979","22029","22207",
"2024-05-11 06:55","22075","22026","22207",
"2024-05-11 07:00","21897","22016","22406",
"2024-05-11 07:05","22365","21973","22406",
"2024-05-11 07:10","22223","21981","22406",
"2024-05-11 07:15","22392","22042","22406",
"2024-05-11 07:20","22210","22123","22406",
"2024-05-11 07:25","22258","22194","22406",
"2024-05-11 07:30","22223","22255","22515",
"2024-05-11 07:35","22308","22319","22515",
"2024-05-11 07:40","22506","22400","22515",
"2024-05-11 07:45","22523","22496","22688",
"2024-05-11 07:50","22648","22587","22688",
"2024-05-11 07:55","22657","22648","22688",
"2024-05-11 08:00","22971","22722","23095",
"2024-05-11 08:05","23025","22758","23095",
"2024-05-11 08:10","23177","22833","23095",
"2024-05-11 08:15","23353","22946","23425",
"2024-05-11 08:20","23578","23078","23425",
"2024-05-11 08:25","23555","23206","23425",
"2024-05-11 08:30","23556","23332","23502",
"2024-05-11 08:35","23696","23448","23502",
"2024-05-11 08:40","23970","23548","23502",
"2024-05-11 08:45","24024","23632","23716",
"2024-05-11 08:50","24099","23740","23716",
"2024-05-11 08:55","23929","23913","23716",
"2024-05-11 09:00","24280","24209","24619",
"2024-05-11 09:05","24502","24441","24619",
"2024-05-11 09:10","24695","24595","24619",
"2024-05-11 09:15","24799","24673","24649",
"2024-05-11 09:20","24863","24721","24649",
"2024-05-11 09:25","24913","24785","24649",
"2024-05-11 09:30","24868","24866","25049",
"2024-05-11 09:35","24754","24944","25049",
"2024-05-11 09:40","24995","24999","25049",
"2024-05-11 09:45","25264","25032","25109",
"2024-05-11 09:50","25353","25073","25109",
"2024-05-11 09:55","25349","25151","25109",
"2024-05-11 10:00","25353","25373","25314",
"2024-05-11 10:05","25541","25480","25314",
"2024-05-11 10:10","25584","25535","25314",
"2024-05-11 10:15","25558","25535","25354",
"2024-05-11 10:20","25726","25514","25354",
"2024-05-11 10:25","25329","25503","25354",
"2024-05-11 10:30","25331","25502","25343",
"2024-05-11 10:35","25516","25496","25343",
"2024-05-11 10:40","25566","25471","25343",
"2024-05-11 10:45","25219","25426","25293",
"2024-05-11 10:50","25473","25393","25293",
