Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-05-11 21:00","27129","27586","27718",
"2024-05-11 21:05","27292","27961","27718",
"2024-05-11 21:10","27521","28155","27718",
"2024-05-11 21:15","27588","28166","28319",
"2024-05-11 21:20","27624","28101","28319",
"2024-05-11 21:25","27990","28062","28319",
"2024-05-11 21:30","28165","28050","28089",
"2024-05-11 21:35","28200","28038","28089",
"2024-05-11 21:40","28167","27997","28089",
"2024-05-11 21:45","28253","27927","27889",
"2024-05-11 21:50","28086","27843","27889",
"2024-05-11 21:55","28047","27758","27889",
"2024-05-11 22:00","27946","27729","27599",
"2024-05-11 22:05","27664","27633","27599",
"2024-05-11 22:10","27224","27521","27599",
"2024-05-11 22:15","27203","27391","27229",
"2024-05-11 22:20","27195","27250","27229",
"2024-05-11 22:25","26938","27105","27229",
"2024-05-11 22:30","26860","26955","26789",
"2024-05-11 22:35","26721","26802","26789",
"2024-05-11 22:40","26793","26646","26789",
"2024-05-11 22:45","26378","26487","26079",
"2024-05-11 22:50","26412","26326","26079",
"2024-05-11 22:55","26223","26161","26079",
"2024-05-11 23:00","25915","25948","25526",
"2024-05-11 23:05","25699","25783","25526",
"2024-05-11 23:10","25570","25627","25526",
"2024-05-11 23:15","25304","25480","25096",
"2024-05-11 23:20","25152","25338","25096",
"2024-05-11 23:25","25058","25198","25096",
"2024-05-11 23:30","24608","25058","24496",
"2024-05-11 23:35","24694","24920","24496",
"2024-05-11 23:40","24692","24783","24496",
"2024-05-11 23:45","24510","24645","24096",
"2024-05-11 23:50","24185","24514","24096",
"2024-05-11 23:55","24043","24392","24096",
"2024-05-12 00:00","24003","24153","23590",
"2024-05-12 00:05","23884","24044","23590",
"2024-05-12 00:10","23645","23930","23590",
"2024-05-12 00:15","23461","23812","23440",
"2024-05-12 00:20","23649","23690","23440",
"2024-05-12 00:25","23430","23569","23440",
"2024-05-12 00:30","23374","23447","22840",
"2024-05-12 00:35","23151","23329","22840",
"2024-05-12 00:40","22992","23218","22840",
"2024-05-12 00:45","22707","23115","22520",
"2024-05-12 00:50","22533","23003","22520",
"2024-05-12 00:55","22604","22864","22520",
"2024-05-12 01:00","22444","22604","22194",
"2024-05-12 01:05","22457","22441","22194",
"2024-05-12 01:10","22291","22311","22194",
"2024-05-12 01:15","22232","22214","21884",
"2024-05-12 01:20","21930","22130","21884",
"2024-05-12 01:25","21883","22037","21884",
"2024-05-12 01:30","21774","21935","21484",
"2024-05-12 01:35","21746","21835","21484",
"2024-05-12 01:40","21592","21747","21484",
"2024-05-12 01:45","21330","21671","21374",
"2024-05-12 01:50","21458","21588","21374",
"2024-05-12 01:55","21443","21481","21374",
"2024-05-12 02:00","21106","21278","20711",
"2024-05-12 02:05","20933","21150","20711",
"2024-05-12 02:10","21168","21053","20711",
"2024-05-12 02:15","20816","20986","20562",
"2024-05-12 02:20","20820","20930","20562",
"2024-05-12 02:25","20793","20869","20562",
"2024-05-12 02:30","20642","20801","20542",
"2024-05-12 02:35","20606","20736","20542",
"2024-05-12 02:40","20653","20683","20542",
"2024-05-12 02:45","20568","20643","20412",
"2024-05-12 02:50","20610","20596","20412",
"2024-05-12 02:55","20262","20522","20412",
"2024-05-12 03:00","20395","20374","20347",
"2024-05-12 03:05","20509","20277","20347",
"2024-05-12 03:10","20521","20212","20347",
"2024-05-12 03:15","20393","20181","20253",
"2024-05-12 03:20","20199","20163","20253",
"2024-05-12 03:25","20218","20139","20253",
"2024-05-12 03:30","20341","20107","19991",
"2024-05-12 03:35","20192","20076","19991",
"2024-05-12 03:40","20023","20050","19991",
"2024-05-12 03:45","20011","20029","19846",
"2024-05-12 03:50","19929","20009","19846",
"2024-05-12 03:55","20064","19982","19846",
"2024-05-12 04:00","19917","19920","19861",
"2024-05-12 04:05","19940","19888","19861",
"2024-05-12 04:10","20068","19860","19861",
"2024-05-12 04:15","19856","19839","19748",
"2024-05-12 04:20","19905","19820","19748",
"2024-05-12 04:25","19945","19802","19748",
"2024-05-12 04:30","19920","19784","19800",
"2024-05-12 04:35","20023","19768","19800",
"2024-05-12 04:40","19800","19756","19800",
"2024-05-12 04:45","19861","19747","19846",
"2024-05-12 04:50","19912","19740","19846",
"2024-05-12 04:55","20028","19733","19846",
"2024-05-12 05:00","19800","19712","19869",
"2024-05-12 05:05","20042","19708","19869",
"2024-05-12 05:10","19873","19714","19869",
"2024-05-12 05:15","19846","19728","19869",
"2024-05-12 05:20","19737","19749","19869",
"2024-05-12 05:25","19705","19772","19869",
