Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-05-12 21:00","26453","27079","27680",
"2024-05-12 21:05","27025","27187","27680",
"2024-05-12 21:10","26961","27279","27680",
"2024-05-12 21:15","27095","27353","28080",
"2024-05-12 21:20","27541","27413","28080",
"2024-05-12 21:25","27734","27461","28080",
"2024-05-12 21:30","28019","27496","28280",
"2024-05-12 21:35","28044","27509","28280",
"2024-05-12 21:40","27981","27490","28280",
"2024-05-12 21:45","28108","27437","27880",
"2024-05-12 21:50","28160","27393","27880",
"2024-05-12 21:55","28157","27396","27880",
"2024-05-12 22:00","27949","27509","27394",
"2024-05-12 22:05","27621","27542","27394",
"2024-05-12 22:10","27524","27492","27394",
"2024-05-12 22:15","27476","27357","27041",
"2024-05-12 22:20","27453","27186","27041",
"2024-05-12 22:25","27446","27025","27041",
"2024-05-12 22:30","27224","26875","26554",
"2024-05-12 22:35","26904","26724","26554",
"2024-05-12 22:40","26823","26561","26554",
"2024-05-12 22:45","26639","26388","26104",
"2024-05-12 22:50","26546","26211","26104",
"2024-05-12 22:55","26459","26042","26104",
"2024-05-12 23:00","26004","25851","25567",
"2024-05-12 23:05","25688","25692","25567",
"2024-05-12 23:10","25538","25532","25567",
"2024-05-12 23:15","25452","25373","25207",
"2024-05-12 23:20","25353","25216","25207",
"2024-05-12 23:25","25033","25066","25207",
"2024-05-12 23:30","25021","24920","24264",
"2024-05-12 23:35","24686","24778","24264",
"2024-05-12 23:40","24621","24635","24264",
"2024-05-12 23:45","24386","24491","23747",
"2024-05-12 23:50","24179","24356","23747",
"2024-05-12 23:55","23933","24240","23747",
"2024-05-13 00:00","23860","24016","23230",
"2024-05-13 00:05","23737","23919","23230",
"2024-05-13 00:10","23581","23808","23230",
"2024-05-13 00:15","23562","23684","23076",
"2024-05-13 00:20","23642","23554","23076",
"2024-05-13 00:25","23353","23430","23076",
"2024-05-13 00:30","23436","23310","22850",
"2024-05-13 00:35","23157","23196","22850",
"2024-05-13 00:40","22719","23089","22850",
"2024-05-13 00:45","22691","22990","22450",
"2024-05-13 00:50","22740","22884","22450",
"2024-05-13 00:55","22608","22758","22450",
"2024-05-13 01:00","22363","22504","21933",
"2024-05-13 01:05","22240","22363","21933",
"2024-05-13 01:10","22116","22252","21933",
"2024-05-13 01:15","22200","22170","21883",
"2024-05-13 01:20","22225","22101","21883",
"2024-05-13 01:25","22131","22026","21883",
"2024-05-13 01:30","21975","21945","21514",
"2024-05-13 01:35","21689","21868","21514",
"2024-05-13 01:40","21839","21800","21514",
"2024-05-13 01:45","21705","21743","21380",
"2024-05-13 01:50","21658","21683","21380",
"2024-05-13 01:55","21334","21605","21380",
"2024-05-13 02:00","21451","21435","20991",
"2024-05-13 02:05","21330","21342","20991",
"2024-05-13 02:10","21164","21272","20991",
"2024-05-13 02:15","21198","21225","20891",
"2024-05-13 02:20","21295","21188","20891",
"2024-05-13 02:25","20908","21147","20891",
"2024-05-13 02:30","21127","21102","20861",
"2024-05-13 02:35","21136","21060","20861",
"2024-05-13 02:40","21139","21029","20861",
"2024-05-13 02:45","20795","21009","20741",
"2024-05-13 02:50","20656","20983","20741",
"2024-05-13 02:55","20781","20938","20741",
"2024-05-13 03:00","21005","20831","20712",
"2024-05-13 03:05","20946","20768","20712",
"2024-05-13 03:10","20953","20732","20712",
"2024-05-13 03:15","20869","20721","20612",
"2024-05-13 03:20","20611","20722","20612",
"2024-05-13 03:25","20808","20720","20612",
"2024-05-13 03:30","20463","20716","20482",
"2024-05-13 03:35","20605","20711","20482",
"2024-05-13 03:40","20660","20704","20482",
"2024-05-13 03:45","20704","20697","20482",
"2024-05-13 03:50","20612","20699","20482",
"2024-05-13 03:55","20598","20719","20482",
"2024-05-13 04:00","20708","20741","20451",
"2024-05-13 04:05","20611","20779","20451",
"2024-05-13 04:10","20698","20799","20451",
"2024-05-13 04:15","20475","20801","20451",
"2024-05-13 04:20","20761","20794","20451",
"2024-05-13 04:25","20836","20790","20451",
"2024-05-13 04:30","20675","20789","20501",
"2024-05-13 04:35","20680","20807","20501",
"2024-05-13 04:40","20645","20860","20501",
"2024-05-13 04:45","20684","20949","20301",
"2024-05-13 04:50","20815","21008","20301",
"2024-05-13 04:55","20621","20971","20301",
"2024-05-13 05:00","20725","20835","20988",
"2024-05-13 05:05","21064","20721","20988",
"2024-05-13 05:10","21112","20738","20988",
"2024-05-13 05:15","21234","20887","21248",
"2024-05-13 05:20","21499","21092","21248",
"2024-05-13 05:25","21572","21279","21248",
"2024-05-13 05:30","21384","21447","21478",
"2024-05-13 05:35","21421","21620","21478",
"2024-05-13 05:40","21779","21819","21478",
"2024-05-13 05:45","21801","22045","22028",
"2024-05-13 05:50","21970","22273","22028",
"2024-05-13 05:55","22178","22481","22028",
"2024-05-13 06:00","22289","22681","23623",
"2024-05-13 06:05","22932","22872","23623",
"2024-05-13 06:10","23470","23093","23623",
"2024-05-13 06:15","23679","23344","24143",
"2024-05-13 06:20","24129","23611","24143",
"2024-05-13 06:25","24158","23878","24143",
"2024-05-13 06:30","24320","24146","24643",
"2024-05-13 06:35","24592","24401","24643",
"2024-05-13 06:40","24784","24630","24643",
"2024-05-13 06:45","24931","24832","25143",
"2024-05-13 06:50","25008","25067","25143",
"2024-05-13 06:55","25413","25395","25143",
"2024-05-13 07:00","25182","25891","26109",
"2024-05-13 07:05","25915","26303","26109",
"2024-05-13 07:10","26297","26603","26109",
"2024-05-13 07:15","26542","26790","26759",
"2024-05-13 07:20","26749","26931","26759",
"2024-05-13 07:25","27052","27092","26759",
"2024-05-13 07:30","27223","27272","27442",
"2024-05-13 07:35","27537","27448","27442",
"2024-05-13 07:40","27536","27597","27442",
"2024-05-13 07:45","27626","27718","27852",
"2024-05-13 07:50","27711","27840","27852",
"2024-05-13 07:55","27870","27992","27852",
"2024-05-13 08:00","28052","28308","28279",
"2024-05-13 08:05","28181","28481","28279",
"2024-05-13 08:10","28543","28604","28279",
"2024-05-13 08:15","28693","28678","29038",
"2024-05-13 08:20","28999","28726","29038",
"2024-05-13 08:25","29010","28772","29038",
"2024-05-13 08:30","29003","28816","28939",
"2024-05-13 08:35","28999","28863","28939",
"2024-05-13 08:40","28959","28917","28939",
"2024-05-13 08:45","28988","28976","28839",
"2024-05-13 08:50","28801","29006","28839",
"2024-05-13 08:55","28783","28972","28839",
"2024-05-13 09:00","28850","28969","28935",
"2024-05-13 09:05","28969","28868","28935",
"2024-05-13 09:10","28879","28829","28935",
"2024-05-13 09:15","28919","28852","28952",
"2024-05-13 09:20","29328","28897","28952",
"2024-05-13 09:25","29084","28925","28952",
"2024-05-13 09:30","29207","28935","29041",
"2024-05-13 09:35","29000","28929","29041",
"2024-05-13 09:40","29024","28908","29041",
"2024-05-13 09:45","28911","28874","29035",
"2024-05-13 09:50","29115","28857","29035",
"2024-05-13 09:55","29190","28891","29035",
"2024-05-13 10:00","29142","29027","28753",
"2024-05-13 10:05","28845","29106","28753",
"2024-05-13 10:10","28968","29124","28753",
"2024-05-13 10:15","28456","29079","28620",
"2024-05-13 10:20","28565","29007","28620",
"2024-05-13 10:25","28835","28945","28620",
"2024-05-13 10:30","28531","28892","28650",
"2024-05-13 10:35","28842","28849","28650",
"2024-05-13 10:40","28748","28818","28650",
"2024-05-13 10:45","28854","28799","28520",
"2024-05-13 10:50","28866","28754","28520",
"2024-05-13 10:55","28506","28645","28520",
"2024-05-13 11:00","28551","28493","28559",
"2024-05-13 11:05","28683","28325","28559",
"2024-05-13 11:10","28793","28228","28559",
"2024-05-13 11:15","28544","28204","28559",
"2024-05-13 11:20","28481","28206","28559",
"2024-05-13 11:25","28534","28190","28559",
"2024-05-13 11:30","28416","28155","28659",
"2024-05-13 11:35","28632","28123","28659",
"2024-05-13 11:40","28671","28114","28659",
"2024-05-13 11:45","28537","28128","28459",
"2024-05-13 11:50","28620","28127","28459",
"2024-05-13 11:55","28393","28074","28459",
"2024-05-13 12:00","28442","27962","28344",
"2024-05-13 12:05","28581","27860","28344",
"2024-05-13 12:10","28424","27815","28344",
"2024-05-13 12:15","28248","27827","28337",
"2024-05-13 12:20","28324","27867","28337",
"2024-05-13 12:25","28246","27904","28337",
"2024-05-13 12:30","28183","27937","28337",
"2024-05-13 12:35","28249","27953","28337",
"2024-05-13 12:40","28387","27937","28337",
"2024-05-13 12:45","28518","27889","28537",
"2024-05-13 12:50","28505","27889","28537",
"2024-05-13 12:55","28546","28019","28537",
"2024-05-13 13:00","28289","28275","28438",
"2024-05-13 13:05","28371","28530","28438",
"2024-05-13 13:10","28693","28645","28438",
"2024-05-13 13:15","28558","28620","28648",
"2024-05-13 13:20","28639","28539","28648",
"2024-05-13 13:25","28630","28487","28648",
"2024-05-13 13:30","28667","28463","28648",
"2024-05-13 13:35","28646","28452","28648",
"2024-05-13 13:40","28743","28440","28648",
"2024-05-13 13:45","28642","28426","28648",
"2024-05-13 13:50","28697","28390","28648",
"2024-05-13 13:55","28576","28308","28648",
"2024-05-13 14:00","28414","28193","28333",
"2024-05-13 14:05","28376","28064","28333",
"2024-05-13 14:10","28472","27975","28333",
"2024-05-13 14:15","28237","27925","28233",
"2024-05-13 14:20","28434","27890","28233",
"2024-05-13 14:25","28153","27849","28233",
"2024-05-13 14:30","28297","27800","28033",
"2024-05-13 14:35","28310","27744","28033",
"2024-05-13 14:40","28326","27680","28033",
"2024-05-13 14:45","27996","27609","27933",
"2024-05-13 14:50","28058","27554","27933",
"2024-05-13 14:55","28103","27541","27933",
"2024-05-13 15:00","27900","27575","28013",
"2024-05-13 15:05","27909","27600","28013",
"2024-05-13 15:10","28140","27582","28013",
"2024-05-13 15:15","27953","27518","27853",
"2024-05-13 15:20","27899","27440","27853",
"2024-05-13 15:25","27981","27375","27853",
"2024-05-13 15:30","27693","27324","27463",
"2024-05-13 15:35","27538","27282","27463",
"2024-05-13 15:40","27626","27243","27463",
"2024-05-13 15:45","27577","27207","27613",
"2024-05-13 15:50","27707","27173","27613",
"2024-05-13 15:55","27574","27141","27613",
"2024-05-13 16:00","27498","27074","27739",
"2024-05-13 16:05","27615","27054","27739",
"2024-05-13 16:10","27935","27054","27739",
"2024-05-13 16:15","27817","27074","27690",
"2024-05-13 16:20","27903","27109","27690",
"2024-05-13 16:25","27713","27155","27690",
"2024-05-13 16:30","27702","27211","27839",
"2024-05-13 16:35","27901","27264","27839",
"2024-05-13 16:40","27881","27301","27839",
"2024-05-13 16:45","27955","27322","27589",
"2024-05-13 16:50","28156","27377","27589",
"2024-05-13 16:55","28256","27518","27589",
"2024-05-13 17:00","28451","27696","28498",
"2024-05-13 17:05","28452","27919","28498",
"2024-05-13 17:10","28457","28052","28498",
"2024-05-13 17:15","28358","28095","28518",
"2024-05-13 17:20","28545","28107","28518",
"2024-05-13 17:25","28396","28149","28518",
